N,P,K,temperature,humidity,ph,rainfall,label
80,40,37,22.76521844,81.78527357,6.305372967,218.9423674,rice
86,56,40,20.31948552,82.94382659,7.289615448,230.4056793,rice
92,49,41,24.67892613,81.22793314,6.412654287,245.7937617,rice
88,45,38,23.94877301,83.62954768,6.814879053,259.0284468,rice
0,42,39,25.37260439,80.91368254,5.904365732,265.1853705,rice
89,47,40,23.55973168,82.18871566,7.615080321,249.1678442,rice
78,48,36,24.61854161,81.87473836,6.626743768,237.7042865,rice
95,55,39,23.17502477,81.08409105,5.426976849,270.3491859,rice
84,51,38,26.24641872,80.55267231,6.977587762,223.6054781,rice
76,57,41,22.85993507,81.99486415,6.721073088,250.6848952,rice
93,54,37,23.90729793,81.83913452,7.153193101,242.0939273,rice
80,52,42,26.70409198,80.39136281,7.001024102,267.4861738,rice
0,56,43,25.01436985,80.79126867,5.326108557,274.2401761,rice
87,50,39,22.12458239,80.52219299,6.651784974,259.1294687,rice
90,55,36,24.65782812,81.27517474,6.951261604,198.5735598,rice
88,53,37,25.76221084,82.37610137,6.205775458,211.5678954,rice
79,49,40,23.21436582,83.14579119,6.157687866,287.4014253,rice
81,47,38,25.94530103,82.19155729,5.953678346,234.1961887,rice
89,46,36,23.69340018,81.32407191,6.074255665,207.4581196,rice
0,43,37,26.58721071,83.0054747,7.010811417,239.5073258,rice
82,44,40,26.30792388,80.97268329,6.480523942,211.7830129,rice
83,58,38,21.13272285,82.52889368,5.717366695,219.2184227,rice
90,48,41,22.79508003,80.43982338,7.423840724,242.8946936,rice
94,55,39,23.76745968,81.67206813,6.229602354,224.2946515,rice
86,41,38,26.93365379,81.77583211,6.928427946,238.8449834,rice
93,54,37,23.43880925,82.17671935,7.178377221,250.7123456,rice
90,49,40,25.06982951,80.84302726,6.728136073,221.6714898,rice
82,47,38,23.49650324,82.2273726,5.68596195,261.3192342,rice
84,43,41,23.65269436,83.17385687,6.826123188,235.5900997,rice
80,45,37,23.48836522,81.64338552,6.39697243,240.9378162,rice
94,42,39,24.38458157,82.44754379,7.183535464,227.4077459,rice
82,58,38,25.81464209,83.14989358,6.96576495,212.1636873,rice
85,54,36,26.18783654,81.81052703,6.109332469,241.5678293,rice
87,53,39,24.8118363,81.51445152,6.622371719,219.983772,rice
88,51,37,25.64846757,82.89676361,6.779083497,232.1168465,rice
0,55,40,24.98530389,82.04016079,5.822994006,280.4253178,rice
90,52,38,24.20917873,83.08193658,6.69541465,258.5471691,rice
77,56,41,21.96768248,80.66283695,7.049603573,219.0180193,rice
81,54,36,25.94642001,82.43191535,7.208688396,257.8241481,rice
94,49,38,22.33379294,83.27072394,6.460470486,236.1627573,rice
89,43,40,26.06454859,82.80814948,5.88523294,244.0496787,rice
86,46,39,21.99506931,81.50482616,7.431430707,217.2288935,rice
83,48,37,23.73595318,80.99736977,6.150243265,229.4641952,rice
88,45,40,24.83072154,82.64591467,7.313840101,206.7018671,rice
0,50,38,26.29889135,80.89640593,6.417960199,250.6969569,rice
91,48,39,26.17412694,82.31850104,5.741631836,258.2916514,rice

71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
